inventory_id,product_id,stock_remaining,warehouse_id,restock_date
1,101,9,3,2025-05-02
2,102,11,3,2025-05-04
3,103,77,2,2025-05-04
4,104,33,1,2025-05-16
5,105,1,3,2025-05-19
6,106,53,3,2025-05-21
7,107,16,1,2025-05-18
8,108,30,1,2025-05-07
9,109,33,1,2025-05-07
10,110,25,3,2025-05-22
11,111,39,5,2025-05-26
12,112,26,3,2025-05-16
13,113,64,2,2025-05-10
14,114,44,1,2025-05-10
15,115,4,1,2025-05-02
16,116,64,5,2025-05-08
17,117,65,4,2025-05-09
18,118,57,1,2025-05-23
19,119,55,4,2025-05-19
20,120,50,5,2025-05-11
21,121,27,2,2025-05-12
22,122,25,2,2025-05-14
23,123,44,1,2025-05-28
24,124,16,1,2025-05-04
25,125,80,3,2025-05-15
26,126,20,1,2025-05-04
27,127,48,5,2025-05-23
28,128,36,5,2025-05-09
29,129,37,1,2025-05-16
30,130,23,2,2025-05-10
