order_item_id,order_id,product_id,quantity,price_per_unit,total_price
1,1001,130,2,860.0,1720.0
2,1001,112,2,2199.0,4398.0
3,1002,121,2,966.0,1932.0
4,1002,120,2,4950.0,9900.0
5,1003,127,4,682.0,2728.0
6,1004,107,4,3250.0,13000.0
7,1005,124,1,2531.0,2531.0
8,1005,101,3,4975.0,14925.0
9,1006,109,2,4266.0,8532.0
10,1006,123,3,4934.0,14802.0
11,1007,126,3,1576.0,4728.0
12,1007,112,1,2199.0,2199.0
13,1008,104,2,3633.0,7266.0
14,1009,107,3,3250.0,9750.0
15,1009,107,4,3250.0,13000.0
16,1010,116,3,3002.0,9006.0
17,1011,127,1,682.0,682.0
18,1012,126,2,1576.0,3152.0
19,1012,116,2,3002.0,6004.0
20,1013,126,3,1576.0,4728.0
21,1013,103,4,4760.0,19040.0
22,1014,113,1,4502.0,4502.0
23,1014,124,2,2531.0,5062.0
24,1015,105,1,4876.0,4876.0
25,1016,119,4,2986.0,11944.0
26,1017,120,4,4950.0,19800.0
27,1018,105,2,4876.0,9752.0
28,1018,101,1,4975.0,4975.0
29,1019,117,2,3654.0,7308.0
30,1020,128,2,1259.0,2518.0
31,1020,127,2,682.0,1364.0
32,1021,109,2,4266.0,8532.0
33,1022,117,2,3654.0,7308.0
34,1022,125,3,384.0,1152.0
35,1023,118,4,4771.0,19084.0
36,1023,127,2,682.0,1364.0
37,1024,130,3,860.0,2580.0
38,1025,122,4,732.0,2928.0
39,1025,127,2,682.0,1364.0
40,1026,117,1,3654.0,3654.0
41,1027,125,2,384.0,768.0
42,1027,120,1,4950.0,4950.0
43,1028,106,2,1044.0,2088.0
44,1029,120,1,4950.0,4950.0
45,1029,118,1,4771.0,4771.0
46,1030,122,4,732.0,2928.0
47,1030,126,1,1576.0,1576.0
