order_id,order_date,customer_id,order_status,seller_id
1001,2025-02-21,18,Cancelled,15
1002,2025-01-18,14,Shipped,5
1003,2025-04-01,14,Cancelled,11
1004,2025-04-24,13,Pending,3
1005,2025-01-11,6,Pending,4
1006,2025-03-26,8,Delivered,8
1007,2025-04-17,19,Pending,5
1008,2025-02-06,1,Pending,7
1009,2025-03-10,12,Shipped,10
1010,2025-02-10,5,Shipped,10
1011,2025-03-25,22,Delivered,8
1012,2025-04-26,25,Shipped,7
1013,2025-02-20,13,Returned,2
1014,2025-03-03,21,Returned,1
1015,2025-01-25,3,Pending,8
1016,2025-01-21,4,Cancelled,10
1017,2025-01-07,4,Delivered,10
1018,2025-01-20,18,Delivered,6
1019,2025-03-20,1,Delivered,14
1020,2025-01-27,20,Returned,3
1021,2025-03-23,9,Cancelled,10
1022,2025-02-16,16,Delivered,2
1023,2025-04-19,16,Returned,8
1024,2025-03-03,10,Delivered,3
1025,2025-01-14,24,Cancelled,12
1026,2025-02-03,16,Pending,9
1027,2025-01-03,7,Shipped,6
1028,2025-01-19,23,Shipped,15
1029,2025-01-04,25,Shipped,5
1030,2025-03-24,3,Cancelled,9
