payment_id,payment_date,payment_mode,payment_status,order_id
1,2025-02-21,UPI,Pending,1001
2,2025-01-18,Card,Failed,1002
3,2025-04-01,UPI,Paid,1003
4,2025-04-24,Wallet,Paid,1004
5,2025-01-11,UPI,Refunded,1005
6,2025-03-26,COD,Pending,1006
7,2025-04-17,COD,Refunded,1007
8,2025-02-06,Wallet,Pending,1008
9,2025-03-10,COD,Pending,1009
10,2025-02-10,Wallet,Pending,1010
11,2025-03-25,Wallet,Paid,1011
12,2025-04-26,Wallet,Refunded,1012
13,2025-02-20,COD,Paid,1013
14,2025-03-03,Card,Refunded,1014
15,2025-01-25,UPI,Pending,1015
16,2025-01-21,COD,Paid,1016
17,2025-01-07,Card,Failed,1017
18,2025-01-20,Card,Failed,1018
19,2025-03-20,Card,Refunded,1019
20,2025-01-27,Card,Paid,1020
21,2025-03-23,Wallet,Refunded,1021
22,2025-02-16,Card,Pending,1022
23,2025-04-19,Card,Refunded,1023
24,2025-03-03,Wallet,Failed,1024
25,2025-01-14,Wallet,Pending,1025
26,2025-02-03,COD,Failed,1026
27,2025-01-03,UPI,Failed,1027
28,2025-01-19,UPI,Failed,1028
29,2025-01-04,Wallet,Refunded,1029
30,2025-03-24,UPI,Refunded,1030
