shipping_id,order_id,delivery_status,shipping_date,return_date
1,1001,Cancelled,2025-02-24,
2,1002,Shipped,2025-01-23,
3,1003,Cancelled,2025-04-06,
4,1004,Pending,2025-04-27,
5,1005,Pending,2025-01-16,
6,1006,Delivered,2025-03-27,
7,1007,Pending,2025-04-18,
8,1008,Pending,2025-02-08,
9,1009,Shipped,2025-03-11,
10,1010,Shipped,2025-02-11,
11,1011,Delivered,2025-03-28,
12,1012,Shipped,2025-04-29,
13,1013,Returned,2025-02-21,2025-02-28
14,1014,Returned,2025-03-05,2025-03-12
15,1015,Pending,2025-01-28,
16,1016,Cancelled,2025-01-23,
17,1017,Delivered,2025-01-11,
18,1018,Delivered,2025-01-23,
19,1019,Delivered,2025-03-24,
20,1020,Returned,2025-01-29,2025-02-05
21,1021,Cancelled,2025-03-28,
22,1022,Delivered,2025-02-21,
23,1023,Returned,2025-04-24,2025-05-01
24,1024,Delivered,2025-03-07,
25,1025,Cancelled,2025-01-17,
26,1026,Pending,2025-02-04,
27,1027,Shipped,2025-01-06,
28,1028,Shipped,2025-01-20,
29,1029,Shipped,2025-01-06,
30,1030,Cancelled,2025-03-28,
